,Comment,topics,c1,d1,c2,d2,c3,d3,c4,d4,missing,c5,Categories,Descriptions,Category Accuracy (%),Description Accuracy (%),Final Score (%),Data Issue Flag
34,Coming to the Red Hook Lobster Pound for my birthday dinner is my favorite tradition! Aissa and Cindy were so sweet and coordinated with my friends to make sure my lobster dinner came out with candles in it - they even gave me a card signed by all the staff! The lobster dinner always hits the spot and I tried the lobster claw Bloody Mary this time and loved it. It's always a great vibe and they are great with large groups (we came with 10 people). Already looking forward to next year!,"- Category: Customer Service
   - Description: Aissa and Cindy provided excellent service by coordinating with friends, serving a lobster dinner with candles, and giving a birthday card signed by staff.
   - Attitude: Satisfied

- Category: Ambiance
   - Description: The restaurant has a great vibe and is suitable for large groups.
   - Attitude: Satisfied

- Category: Food Quality
   - Description: The lobster dinner always hits the spot, and the lobster claw Bloody Mary was delicious.
   - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Customer Service', 'Ambiance', 'Food Quality']","['Aissa and Cindy provided excellent service by coordinating with friends, serving a lobster dinner with candles, and giving a birthday card signed by staff.', 'The restaurant has a great vibe and is suitable for large groups.', 'The lobster dinner always hits the spot, and the lobster claw Bloody Mary was delicious.']",100.0,100.0,100.0,False
35,"Love this place!  The food is always great and the dinner specials are amazing. The best part is the phenomenal staff! Shout out to Aissa, Cindy and Kerry for making my friend's birthday so special!!!!!","- Category: Food Quality
  - Description: The food is always great and the dinner specials are amazing.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The best part is the phenomenal staff! Shout out to Aissa, Cindy and Kerry for making my friend's birthday so special!!!!!
  - Attitude: Extremely satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['The food is always great and the dinner specials are amazing.', ""The best part is the phenomenal staff! Shout out to Aissa, Cindy and Kerry for making my friend's birthday so special!!!!!""]",100.0,100.0,100.0,False
36,Enjoyed a great casual meal here. We started with the clam chowder - maybe the best we've had. Next was the mussels in garlic broth. AMAZING. Fresh. Perfectly prepared. Served with delicious ciabatta bread to enjoy the garlic broth. All employees were very friendly and welcoming. WELL worth a try.,"- Category: Food Quality
  - Description: The clam chowder and mussels in garlic broth were described as amazing, fresh, and perfectly prepared.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: All employees were described as very friendly and welcoming.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Customer Service']","['The clam chowder and mussels in garlic broth were described as amazing, fresh, and perfectly prepared.', 'All employees were described as very friendly and welcoming.']",100.0,100.0,100.0,False
37,"Connecticut Roll, Fresh Maine Lobsters both very good and tasted great. We also had the East and west coast oysters. So good. Loved the place would def come back again.","- Category: Food Quality
  - Description: Connecticut Roll, Fresh Maine Lobsters, East and west coast oysters are very good and tasted great.
  - Attitude: Satisfied

Overall, the review highlights the positive experience with the food quality at the restaurant. The Connecticut Roll, Fresh Maine Lobsters, and East and west coast oysters are all described as very good and tasting great, indicating a high level of satisfaction with the food quality.",1.0,1.0,,,,,,,,,['Food Quality'],"['Connecticut Roll, Fresh Maine Lobsters, East and west coast oysters are very good and tasted great.']",100.0,100.0,100.0,False
38,Usually like this place and their lobster rolls but think today may have been a off day potentially. To start theie was a guy that worked their that was very rude and dismissve. Upon entry we had to greet him and say we want a table for two. Then he just pointed to our table and said menu is on the barcode and walked away that's literally the only words we got from him. Then when our food came out (1 Connecticut style lobster rolls w/ fries & 1 fried lobsterroll w/potato salad) I don't think they timed it correctly maybe they made the Connecticut Then waited for the fried one to be made as the French fries were cold and the lobster roll was cold. It was so bad we had to ask for the fries to be heated the lobster roll we just sucked up and ate cold it also looks likenthey are cutting back as ive never seen a roll from them look that skimpy. The fried lobster was good though.,"- Category: Customer Service
- Description: Rude and dismissive behavior from a staff member when greeted and seated.
- Attitude: Unsatisfied

- Category: Food Quality
- Description: Inconsistent timing of food orders, resulting in cold fries and lobster roll.
- Attitude: Unsatisfied

- Category: Portion Size
- Description: Lobster roll appeared skimpy compared to previous visits.
- Attitude: Unsatisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Customer Service', 'Food Quality', 'Portion Size']","['Rude and dismissive behavior from a staff member when greeted and seated.', 'Inconsistent timing of food orders, resulting in cold fries and lobster roll.', 'Lobster roll appeared skimpy compared to previous visits.']",100.0,100.0,100.0,False
39,"5 Stars to the kitchen workers who read my seamless message, ""Please write the names listed on each item so my boss doesn't fire me for messing up the order again"" and pulled thru. Kitchen workers are my favorite kind of people! Thanks so much for making my very stressful day go a bit easier!","- Category: Order Accuracy and Efficiency
    - Description: Kitchen workers correctly followed the request to write names on each item to prevent order mistakes.
    - Attitude: Satisfied",1.0,1.0,,,,,,,,,['Order Accuracy and Efficiency'],['Kitchen workers correctly followed the request to write names on each item to prevent order mistakes.'],100.0,100.0,100.0,False
40,"Came in from Bridgeport Ct on Saturday for an early lunch.I ordered the classic Lobster roll with a side of sweet potato fries.WE have good lobster rolls in Ct,but the Lobster Pound roll is probably the best I have eaten.They have vats of fresh Lobsters in the restaurant.Finished off great lunch with a glass of red wine.Girls were all sweethearts.","- Category: Food Quality
  - Description: The Lobster Pound roll was described as probably the best the reviewer has eaten.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: The reviewer mentioned that there were vats of fresh lobsters in the restaurant.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: The reviewer referred to the girls serving as sweethearts.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Ambiance', 'Customer Service']","['The Lobster Pound roll was described as probably the best the reviewer has eaten.', 'The reviewer mentioned that there were vats of fresh lobsters in the restaurant.', 'The reviewer referred to the girls serving as sweethearts.']",100.0,100.0,100.0,False
41,"Gave this place a try, wouldn't say it's anything to recommend except if you happen to be passing and want seafood. 
Clam chowder was good 
Would have expected more lobster and crab meat for the prices we paid for the entrees.","- Category: Food Quality
  - Description: Clam chowder was good, but expected more lobster and crab meat in the entrees.
  - Attitude: Neutral",1.0,1.0,,,,,,,,,['Food Quality'],"['Clam chowder was good, but expected more lobster and crab meat in the entrees.']",100.0,100.0,100.0,False
42,Red Hook Lobster does a really fun Wednesday lobster dinner special where it's $25 for a 1.5 lb lobster served with a side of corn and potatoes. I also highly recommend the lobster cheese fries!,"- Category: Food Quality
  - Description: Lobster dinner special and lobster cheese fries are recommended.
  - Attitude: Positive

- Category: Value for Money
  - Description: $25 for a 1.5 lb lobster dinner special.
  - Attitude: Positive",1.0,1.0,1.0,1.0,,,,,,,"['Food Quality', 'Value for Money']","['Lobster dinner special and lobster cheese fries are recommended.', '$25 for a 1.5 lb lobster dinner special.']",100.0,100.0,100.0,False
43,My family went today and brought me home the banana pudding. It literally tasted like Clorox was put in it. I guess rotten pudding ? Scared I'll be sick tonight. Very disappointed,"- Category: Food Quality
- Description: Banana pudding tasted like Clorox, possibly rotten.
- Attitude: Disappointed",1.0,1.0,,,,,,,,,['Food Quality'],"['Banana pudding tasted like Clorox, possibly rotten.']",100.0,100.0,100.0,False
44,"We visited the lobster pound today to enjoy the  one dollar oyster happy hour
What a treat our meal was today. Oysters were delicious and we had the down east fish chowder and an order of garlic biscuits and washed it down with our refreshing 5 dollar happy hour beer
This place is a great stop and we highly encourage you take advantage of the happy hour specials - the chowder was incredibly fresh, hearty and delicious! The garlic biscuits were decadently delicious!!! Service is excellent and atmosphere is great!  We were thrilled with everything today!","- Category: Food Quality
  - Description: Oysters, down east fish chowder, and garlic biscuits were delicious.
  - Attitude: Satisfied

- Category: Value for Money
  - Description: Happy hour specials, $1 oysters, $5 happy hour beer.
  - Attitude: Satisfied

- Category: Customer Service
  - Description: Service is excellent.
  - Attitude: Satisfied

- Category: Ambiance
  - Description: Atmosphere is great.
  - Attitude: Satisfied",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Value for Money', 'Customer Service', 'Ambiance']","['Oysters, down east fish chowder, and garlic biscuits were delicious.', 'Happy hour specials, $1 oysters, $5 happy hour beer.', 'Service is excellent.', 'Atmosphere is great.']",100.0,100.0,100.0,False
45,"The Red Hook Lobster Pound, kinda left me with mixed emotions. Service was on point everyone hustling attending to tables. Hostess was super nice and upbeat and even though we had reservations for 45 minutes later than when we arrived they were able to seat us at a booth located on the street. Like most places you scan the menu and it pops up on your phone and you're able to sort through several categories of items including soups, salads, shareable starters, lobster rolls and complete dinners. Being your known for lobster rolls that's what we opted for. We ordered one classic and one Connecticut. Both came with at least one full claw and nice chunks of lobster. Yes most people would agree the portion size could be bigger for the price that you're paying which was $32 for a lobster roll and a side of fries or coleslaw or potato salad. Now I know that transportation and cost a rising all across the board but when two people share one appetizer, have three lobster rolls(one to go) and two drinks the total was like $120. Think it's a bit steep. But it was a nice night, servers were friendly and we came, we ate and we can say , hey I was at Red Hook Lobster Pound.","- Category: Food Quality
- Description: Lobster rolls ordered were well-prepared with nice chunks of lobster, but portion size felt small for the price paid.
- Attitude: Mixed

- Category: Value for Money
- Description: Reviewer found the total bill for two people sharing an appetizer, having three lobster rolls, two drinks to be a bit steep at $120.
- Attitude: Unsatisfied

- Category: Customer Service
- Description: Positive feedback for the attentive and hustling service, with the hostess being super nice and upbeat.
- Attitude: Satisfied

- Category: Menu Choice
- Description: Menu featured a variety of categories including soups, salads, shareable starters, lobster rolls,",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Food Quality', 'Value for Money', 'Customer Service', 'Menu Choice']","['Lobster rolls ordered were well-prepared with nice chunks of lobster, but portion size felt small for the price paid.', 'Reviewer found the total bill for two people sharing an appetizer, having three lobster rolls, two drinks to be a bit steep at $120.', 'Positive feedback for the attentive and hustling service, with the hostess being super nice and upbeat.', 'Menu featured a variety of categories including soups, salads, shareable starters, lobster rolls,']",100.0,100.0,100.0,False
46,"Ok, BEST KING CRAB LEGS EVER!!! Such a chill atmosphere. The potatoes and corn were spot on perfect! Our server Jesse was so much fun and very sweet! Coming back for sure!","- Category: Food Quality
  - Description: Best king crab legs ever, perfectly cooked potatoes and corn.
  - Attitude: Positive

- Category: Ambiance
  - Description: Chill atmosphere.
  - Attitude: Positive

- Category: Customer Service
  - Description: Server Jesse was fun and very sweet.
  - Attitude: Positive",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Ambiance', 'Customer Service']","['Best king crab legs ever, perfectly cooked potatoes and corn.', 'Chill atmosphere.', 'Server Jesse was fun and very sweet.']",100.0,100.0,100.0,False
47,"Wonderful lobster rolls & fries! You can't go wrong with the Maine or Connecticut - both give you hefty portions of lobster, on a buttery roll. It is slightly overpriced, but they make up for it with a killer drink menu.","- Category: Food Quality
  - Description: Lobster rolls and fries with hefty portions of lobster on a buttery roll.
  - Attitude: Positive

- Category: Value for Money
  - Description: Slightly overpriced.
  - Attitude: Neutral

- Category: Menu Choice
  - Description: Killer drink menu.
  - Attitude: Positive",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Value for Money', 'Menu Choice']","['Lobster rolls and fries with hefty portions of lobster on a buttery roll.', 'Slightly overpriced.', 'Killer drink menu.']",100.0,100.0,100.0,False
48,"Beautiful warehouse with a fishery feeling. This is a well managed place that feels connected to New England's tradition of lobster shacks. The food is good, well installed in the mainstream. Service is professional. 
A bit pricy, I would say. 
Overall, this is a great place.","- Category: Ambiance
- Description: Beautiful warehouse with a fishery feeling, connected to New England's tradition of lobster shacks.
- Attitude: Positive

- Category: Food Quality
- Description: The food is good, well installed in the mainstream.
- Attitude: Positive

- Category: Value for Money
- Description: A bit pricy.
- Attitude: Neutral

- Category: Customer Service
- Description: Service is professional.
- Attitude: Positive",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,"['Ambiance', 'Food Quality', 'Value for Money', 'Customer Service']","[""Beautiful warehouse with a fishery feeling, connected to New England's tradition of lobster shacks."", 'The food is good, well installed in the mainstream.', 'A bit pricy.', 'Service is professional.']",100.0,100.0,100.0,False
49,"Oh my God I just paid $40 for maybe a quarter lb of lobster. I feel sick to my stomach. I have never seen such a tiny lobster roll!! Very frustrating how stingy they were with the lobster. Even the fries...can you afford to give us more fries when we just paid $40? $32 cost of the connecticutt roll. It was good. Add tip, tax= $39. Wow. And it was packed. Our specific waiter was not friendly. Mumbled, couldn't hear him. Didn't explain the menu. Meh.","- Category: Food Quality
  - Description: Small portion size and lack of quantity of lobster in lobster roll.
  - Attitude: Dissatisfied

- Category: Value for Money
  - Description: Feeling of overpaying for the lobster roll and small portion of fries.
  - Attitude: Dissatisfied

- Category: Customer Service
  - Description: Unfriendly and unhelpful waiter who mumbled and didn't explain the menu.
  - Attitude: Dissatisfied",1.0,1.0,1.0,1.0,1.0,1.0,,,,,"['Food Quality', 'Value for Money', 'Customer Service']","['Small portion size and lack of quantity of lobster in lobster roll.', 'Feeling of overpaying for the lobster roll and small portion of fries.', ""Unfriendly and unhelpful waiter who mumbled and didn't explain the menu.""]",100.0,100.0,100.0,False
