,restaurant_name,Name,Profile Location,Score,Date,Elite 24,Friends,Reviews,Photos,reserved,pictures,checkin,Comment,Helpful,Thanks,Love this,Oh no,Reply Date,Reply Content
799,Artichoke Basille’s Pizza,Julie Y.,"Buena Park, CA",2,"Mar 4, 2023",no,42,177,386,no,1 photo,,"I was so excited to try this place but it failed my expectations. The artichoke slice was creamy, but personally was way too heavy and salty for my liking to the point that eating a quarter of the pizza was enough. The margarita was better of the three, it is a simple classic that can never go wrong. Slices are extremely huge, but flavors were mid.",2,0,0,0,,
432,Buddakan,Avivi W.,"CA, CA",2,"Apr 18, 2024",no,12,161,581,no,8 photos,,"The food here was good, but the front desk service was absolutely horrible!! it was my friend's birthday, and we called in twice ahead of time to make sure that we would be able to get the seating at the main table, when we first walked in, they led us to one of the back tables in which we told them that we literally called in twice about the main seating area. Then they proceeded to make us wait for 45 minutes, with horrible attitude from the front desk. Additionally, there was a candle at each of the tables that continue to melt onto the floor, and a lot of people were slipping on it, which is a hazard and so dangerous for everyone walking by. Our waitress, however, was very sweet and nice and the food was pretty good. The environment is super dark and really hard to see where you are going or eating.",1,0,0,0,,
326,Serendipity 3,Kelly C.,"Mountain Brook, AL",5,"May 24, 2024",no,0,2,0,no,,,"fast, friendly, courteous. akeena was great! The best!!! We couldn't have asked for a better waitress! Fab experience!",0,0,0,0,,
596,The Halal Guys,Tiffany N.,"San Francisco, CA",3,"Jun 7, 2023",no,22,149,72,no,,,"Being basic, we had to visit the original spot but honestly doesn't taste any different than other halal guys locations in California. So not worth the long line. Ended up eating on the streets at night and got bitten by mosquitoes. Not a way we wanted to remember New York",0,0,0,0,"Jun 8, 2023","Hi Tiffany, we would appreciate the opportunity to chat with your directly. Please feel free to call the office or email us any time to start a conversation."
666,Ippudo NY,Kimberly N.,"Boston, MA",4,"Dec 28, 2023",no,3,370,7725,no,3 photos,,"The line can get quite long (I waited around an hour when I went during dinner time), but the ramen is worth it. I've had Ippudo in Japan before, and the quality here is close.",0,0,1,0,,
828,Red Hook Lobster Pound,Greg D.,"Brooklyn, New York, NY",3,"Sep 13, 2022",no,33,262,1198,no,6 photos,,"Ok, finally hit this lobster joint  which was on my bucket list for some time now last week on a 9/7/22 Thursday around 3:pm or so.
Parking could be a lil tuff at times but we were lucky as we pulled up a car pulled out so that was easy ... 
Loved the inside dining room & bar area very comfortable not fancy nice a simple; the place was still quite only three tables or so ...
The server / bartender was very polite and gave us her recommendations; we opted for 2 - Connecticut Lobsters rolls @ $ 32 bucks each for a total of $ 64 bucks plus we took a Piña colada frozen drink also to go.. total $ 78.50 plus a $ 6 tip ya know lobster ya gotta pay !! 
Our order was ready to go in less then 10 minutes or so; we then ran down to our favorite BBQ Joint Home Town to get our BBQ Meat on, a lil Surf & Turf !! 
The lobster Roll; 1 roll had very nice size chunks & claw meat loaded real nice; Roll 2 was a bit of a disappointment no large chunks of lobster meat all tiny pieces. Also in my opinion not enough butter on both rolls also we would have like our roll / bun toasted a lil more ... 
Very fresh it was good at best; We frequently patronize Luke's lobster roll in Manhattan and in my opinion and my wife's Lukes blows them away......
Would I come back, no I don't think so; their lobsters rolls are supposed to be the star of their show  and they didn't deliver .... 
Do I recommend, only if Luke's goes out of business or if ya live in the area ...
Thanks, 
Greg D & family",0,0,1,0,,
646,Ippudo NY,Aphatsara G.,"Manhattan, New York, NY",4,"Feb 13, 2024",no,51,126,637,no,3 photos,,Is very nice &clean restaurant. Yummy ramen. They Have a lot of choice. I order spicy ramen extra boil egg . Yum! And I love shrimp tempura with spicy mayo sauce. So good!,0,0,0,0,,
642,Ippudo NY,Mia H.,"Portland, OR",5,"Feb 16, 2024",no,34,457,737,no,,,"Came here for lunch with family and we had a great time! My cousin recommended this place, as I didn't know much about where to go and let me just say: there's a very good reason that this spot has been here for over a decade. 
The interior of the restaurant is spacious, dimly lit, and provides for a good dinner spot. We got seated at a giant booth and it did not feel cramped at all (despite being a big group). We all ordered different ramen and some appetizers, and everything was delicious. The ramen I got (Karaka Spicy) was flavorful, rich, and the perfect amount of kick. I would love to come back here again if I'm in the area.",0,0,0,0,,
678,Ippudo NY,Zoe R.,"New York, NY",5,"Dec 8, 2023",no,0,5,1,no,,,"one of the best ramens i've tried in new york. simple and flavorful, this restaurant provides a comforting meal with a comfortable atmosphere. great service all the way around good good place.",0,0,0,0,,
510,The Halal Guys,Belle C.,"Wauseon, OH",4,"May 9, 2024",no,21,24,17,no,,,"Great stop in NYC! The line is a bit long, but they try their best to keep it moving. We ordered the gryo sandwich and the chicken/beef combo platter. The serving size of the platter was big and made us regret buying the gyro sandwich. It's easy to split between two people. We preferred the tastes of the platter to the gyro. I think the gyro lacked extra sauce and flavor. The platter did some with sauce on the side, just be sure to have a light hand on the hot sauce - it is spiiiiiicy! They have a selection of cold drinks for purchase as well. In summary, good food!",0,0,0,0,"May 9, 2024"," Thank you for the positive comments about The Halal Guys! We are lucky to have customers like you! If we can ever do anything to make your experience even better, feel free to contact us directly."
199,Amy Ruth’s,Venus C.,"New York, NY",5,"Feb 19, 2023",no,103,11,3,no,,,The Fried Chicken and Waffles is a must have at Amy Ruth's! This is truly A Harlem Gem.,0,0,0,0,,
418,Buddakan,Tasha O.,"Brooklyn, NY",5,"May 27, 2024",no,13,12,24,no,3 photos,,Service was amazing!!! Food was exceptionally delicious! Perfect date night ambiance!!!,0,0,0,0,,
896,Red Hook Lobster Pound,M K.,"Brooklyn, NY",5,"Jul 24, 2020",no,0,2,0,no,,,"I love this place. I haven't had everything on the menu - yet - but everything I've had is always perfect from the classic lobster roll to the french fries, and possibly the best calamari I've ever had - so light and tender and melts in your mouth. Thank you, can't wait to go back!",0,0,0,0,"Jul 24, 2020",Thank you for the positive review! FYI the Calamari is from the shores of Rhode Island! Super yummy.
573,The Halal Guys,Ann H.,"Plano, TX",1,"Aug 24, 2023",no,94,6,0,no,,,CROOKS!!! Whatever you do GET A RECEIPT! I didn't want to get on a text list so said no to a receipt and was charged $119.77 for ONE combo platter.  I cannot get an answer at 'corporate office' and my credit card company will not rectify. Capitol One bank is awful too.,1,0,0,0,,
18,LoveMama,Joe H.,"West Orange, NJ",5,"May 4, 2024",no,1,13,7,no,,,"Good food!!!!!!
Spicy and authentic 
It's really cool and owner is friendly, and curry laksa is really filling",0,0,0,0,,
108,Amy Ruth’s,Erin F.,"Lowell, MA",5,"May 19, 2024",no,12,39,24,no,1 photo,,Best chicken and waffles I've ever had! Service was immaculate! The server made us feel right at home.,1,1,1,0,,
123,Amy Ruth’s,Amy A.,"Buffalo, NY",5,"Feb 25, 2024",no,143,530,146,no,,,"My order: the rev al sharpton (smothered) chicken and waffles, peach mimosa 
Pros
+ Food: Big portions. I loved my meal, I got two waffles, plenty of chicken thigh and gravy. The mimosa could have been sweeter but was otherwise enjoyable. 
+ Ambiance: I loved the decorations and the artwork on the wall. The place was spacious. 
FYI, They don't seat you until everyone in your party is there.",1,0,0,0,,
203,L & B Spumoni Gardens,SeaRey P.,"Flatbush, New York, NY",5,"Jun 24, 2024",no,0,5,0,no,,,"Never disappoints, always delights. Consistency and amazing Sicilian slices, every time.",0,0,0,0,,
749,Artichoke Basille’s Pizza,Richa T.,"Rego Park, Queens, NY",3,"Oct 10, 2023",no,614,1605,2029,no,,,"I came here the other day for a slice and it was just a-okay.
Pros:
+ Pizza by the slice
+ Better if you're a little inebriated to enjoy this place
+ Long lines
Cons:
- Takes a little while to open up
- Pricey: $6 per slice
IG: QueenOfAdventureNYC",1,1,0,0,,
801,Red Hook Lobster Pound,Tony K.,"New York, NY",4,"Aug 7, 2010",no,39,10,6,no,,,"So.....saw his place on LXtv earlier this week......Tried both types of Lobster Roll yum yum yum!!! (May ask for extra butter on CT roll---but that's just me..) Oh, yeah let us not forget the ice cream filled whoopie pie.....mmmmmm!!",0,0,0,0,,
114,Amy Ruth’s,Lauren D.,"The Bronx, The Bronx, NY",5,"Apr 10, 2024",no,0,3,0,no,,,"The food is amazing! Always fresh and served in great portions. Tasha is a doll! She served us with a smile and was not only efficient, but a sweetheart. I would highly recommend Amy Ruth's if you want a taste of exceptional soul food!",0,0,0,0,,
377,Serendipity 3,Thomas S.,"Midtown East, New York, NY",5,"Feb 24, 2024",no,0,2,0,no,,,We enjoyed our visit and meal. The staff is very accommodating and made our stay a pleasure.,0,0,0,0,,
752,Artichoke Basille’s Pizza,Tyler R.,"Cincinnati, OH",5,"Sep 29, 2023",no,0,22,0,no,,,"The Sicilian is amazing, highly recommended. The service is efficient, and they're open late.",0,0,0,0,,
824,Red Hook Lobster Pound,Carolyn B.,"Queens, NY",5,"Jul 19, 2015",no,320,49,0,no,,,Had the Maine Lobster Roll. I don't think it's possible to make a better lobster roll.,1,0,1,0,,
105,Amy Ruth’s,Travis S.,"Manhattan, NY",5,"May 23, 2024",no,194,42,12,no,1 photo,,"Hands down the BEST southern soul food in nyc!!! Coming from a southern girl born and bred in North Carolina. I've lived in nyc for 23 years and am
So grateful to have found Amy Ruth's. The comfort of home. Everything is good!!!!!!!!!!!!!! Especially Mac n cheese, fried okra, collards, potato salad, fried shrimp, catfish and crab cake! Can't forget your sweet tea!!!! Yummyyyyyyyyy 10/10",1,0,1,0,,
921,Di Fara Pizza,Jake S.,"Oceanport, NJ",1,"Feb 26, 2024",no,0,10,1,no,,,"So bot what it is cracked up to be
Waste of time totally not worth the spend 
Pizza not like the original",0,0,0,0,,
798,Artichoke Basille’s Pizza,Mitch S.,"Westfield, NJ",2,"Mar 10, 2023",no,0,31,1,no,,,"I tried the artichoke pizza and it was a creamy mess that had little flavor. The slice was large,but quite expensive .  I won't be going back.",1,0,0,0,,
1,LoveMama,Mike B.,"Los Angeles, CA",5,"Jun 15, 2024",no,0,11,0,no,,,"Incredible food, and the staff was amazing. Loved the no frills environment. Went with my two kids, and we all had a great experience.",0,0,0,0,,
40,LoveMama,Mars M.,"Cypress, CA",5,"Mar 21, 2024",no,206,13,7,yes,,,The best pad thai I've ever had!! A true mom and pop shop no wait staff just husband and wife working hard together serving the most delicious perfectly spiced authentic dishes. Super fast service and every single thing we ate was amazing. I'm so happy I got to try it I will be sure to come back every time I visit NYC!,0,0,0,0,,
717,Artichoke Basille’s Pizza,Delaney M.,"Hannibal, MO",5,"Apr 14, 2024",no,0,17,19,no,2 photos,,This is such a great little spot! I feel like this is such a hidden gem. Had standing tables so you could eat inside. The artichoke pizza (their most popular) was amazing and HUGE! Super large portions and so good. The staff were so wonderful and cheerful as well.,0,0,0,0,,
